# timestamp tx ty tz qx qy qz qw
1763437339.889390 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1763437339.989389 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1763437340.089389 0.000000 0.000000 -0.011000 0.000000 0.000000 0.000000 1.000000
1763437340.189389 -0.000000 -0.000000 -0.014000 0.000000 0.000000 0.000000 1.000000
1763437340.289389 0.010287 -0.000000 -0.017000 0.000000 0.000000 0.000000 1.000000
1763437340.389390 -0.000000 -0.000000 -0.003000 0.000000 0.000000 0.000000 1.000000
1763437340.489389 0.010287 -0.000000 -0.003000 0.000000 0.000000 0.000000 1.000000
1763437340.589389 0.000000 -0.000000 -0.004000 0.000000 0.000000 0.000000 1.000000
1763437340.689389 0.010287 0.000000 -0.002000 0.000000 0.000000 0.000000 1.000000
1763437340.789389 -0.000000 0.000000 -0.007000 0.000000 0.000000 0.000000 1.000000
1763437340.889390 -0.000000 0.000000 -0.007000 0.000000 0.000000 0.000000 1.000000
1763437341.089389 0.000000 0.000000 -0.008000 0.000000 0.000000 0.000000 1.000000
1763437341.189389 0.010287 -0.000000 -0.010000 0.000000 0.000000 0.000000 1.000000
1763437341.289389 -0.000000 -0.000000 -0.014000 0.000000 0.000000 0.000000 1.000000
1763437341.389390 0.000000 -0.011074 -0.002000 0.000000 0.000000 0.000000 1.000000
1763437341.489389 -0.000000 -0.011074 0.003000 0.000000 0.000000 0.000000 1.000000
1763437341.589389 0.010287 0.000000 0.011000 0.000000 0.000000 0.000000 1.000000
1763437341.689389 0.010287 -0.000000 -0.003000 0.000000 0.000000 0.000000 1.000000
1763437341.789389 -0.000000 -0.000000 -0.014000 0.000000 0.000000 0.000000 1.000000
1763437341.889390 0.000000 0.000000 -0.009000 0.000000 0.000000 0.000000 1.000000
1763437341.989389 0.000000 0.000000 -0.008000 0.000000 0.000000 0.000000 1.000000
1763437342.089389 -0.000000 0.000000 -0.007000 0.000000 0.000000 0.000000 1.000000
1763437342.189389 -0.000000 0.000000 -0.006000 0.000000 0.000000 0.000000 1.000000
1763437342.289389 0.000000 -0.011074 -0.004000 0.000000 0.000000 0.000000 1.000000
1763437342.389390 -0.000000 -0.011074 -0.001000 0.000000 0.000000 0.000000 1.000000
1763437342.489389 0.000000 -0.000000 -0.004000 0.000000 0.000000 0.000000 1.000000
1763437342.589389 -0.000000 -0.000000 -0.005000 0.000000 0.000000 0.000000 1.000000
1763437342.689389 0.000000 -0.000000 -0.015000 0.000000 0.000000 0.000000 1.000000
1763437342.789389 0.000000 -0.011074 -0.003000 0.000000 0.000000 0.000000 1.000000
1763437342.889390 -0.000000 -0.000000 -0.002000 0.000000 0.000000 0.000000 1.000000
1763437342.989389 0.000000 -0.011074 -0.006000 0.000000 0.000000 0.000000 1.000000
1763437343.089389 0.010287 0.000000 -0.006000 0.000000 0.000000 0.000000 1.000000
1763437343.189389 -0.000000 -0.011074 -0.007000 0.000000 0.000000 0.000000 1.000000
1763437343.289389 0.000000 0.000000 -0.009000 0.000000 0.000000 0.000000 1.000000
1763437343.389390 -0.000000 -0.000000 -0.014000 0.000000 0.000000 0.000000 1.000000
1763437343.489389 0.000000 -0.011074 -0.017000 0.000000 0.000000 0.000000 1.000000
1763437343.589389 -0.000000 -0.000000 -0.016000 0.000000 0.000000 0.000000 1.000000
1763437343.689389 0.010287 -0.011074 -0.023000 0.000000 0.000000 0.000000 1.000000
1763437343.789389 0.000000 -0.011074 -0.020000 0.000000 0.000000 0.000000 1.000000
1763437343.889390 0.010287 -0.011074 -0.023000 0.000000 0.000000 0.000000 1.000000
1763437343.989389 -0.000000 0.000000 -0.024000 0.000000 0.000000 0.000000 1.000000
1763437344.089389 0.010287 -0.011074 -0.021000 0.000000 0.000000 0.000000 1.000000
1763437344.189389 0.010287 -0.011074 -0.027000 0.000000 0.000000 0.000000 1.000000
1763437344.289389 0.010287 0.000000 -0.024000 0.000000 0.000000 0.000000 1.000000
1763437344.389390 0.010287 -0.000000 -0.008000 0.000000 0.000000 0.000000 1.000000
1763437344.489389 0.010287 -0.011074 -0.018000 0.000000 0.000000 0.000000 1.000000
1763437344.589389 0.010287 -0.000000 -0.018000 0.000000 0.000000 0.000000 1.000000
1763437344.689389 0.010287 -0.011074 -0.025000 0.000000 0.000000 0.000000 1.000000
1763437344.789389 0.010287 -0.011074 -0.037000 0.000000 0.000000 0.000000 1.000000
1763437344.889390 0.010287 -0.011074 -0.048000 0.000000 0.000000 0.000000 1.000000
1763437344.989389 0.010287 -0.011074 -0.050000 0.000000 0.000000 0.000000 1.000000
1763437345.089389 0.010287 -0.000000 -0.048000 0.000000 0.000000 0.000000 1.000000
1763437345.189389 0.000000 -0.011074 -0.048000 0.000000 0.000000 0.000000 1.000000
1763437345.289389 0.000000 -0.011074 -0.049000 0.000000 0.000000 0.000000 1.000000
1763437345.389390 0.010287 -0.011074 -0.053000 0.000000 0.000000 0.000000 1.000000
1763437345.489389 0.010287 -0.011074 -0.051000 0.000000 0.000000 0.000000 1.000000
1763437345.589389 0.000000 -0.011074 -0.038000 0.000000 0.000000 0.000000 1.000000
1763437345.689389 0.000000 -0.011074 -0.038000 0.000000 0.000000 0.000000 1.000000
1763437345.789389 -0.000000 -0.011074 -0.036000 0.000000 0.000000 0.000000 1.000000
1763437345.889390 0.010287 -0.011074 -0.031000 0.000000 0.000000 0.000000 1.000000
